[run number],density,influence-weight,num-agents,network-type,social-influence,broadcast-influence,influential-fraction,[reporter],[final],[min],[max],[mean],[steps]
21,0.3,0.75,100,preferential-attachment,0.3,0.05,0.1,ticks,35,0,35,17.5,35
22,0.3,0.75,100,preferential-attachment,0.3,0.05,0.1,ticks,37,0,37,18.5,37
23,0.3,0.75,100,preferential-attachment,0.3,0.05,0.1,ticks,41,0,41,20.5,41
24,0.3,0.75,100,preferential-attachment,0.3,0.05,0.1,ticks,51,0,51,25.5,51
25,0.3,0.75,100,preferential-attachment,0.3,0.05,0.1,ticks,40,0,40,20,40
26,0.3,0.75,100,preferential-attachment,0.3,0.05,0.1,ticks,43,0,43,21.5,43
27,0.3,0.75,100,preferential-attachment,0.3,0.05,0.1,ticks,40,0,40,20,40
28,0.3,0.75,100,preferential-attachment,0.3,0.05,0.1,ticks,29,0,29,14.5,29
29,0.3,0.75,100,preferential-attachment,0.3,0.05,0.1,ticks,49,0,49,24.5,49
30,0.3,0.75,100,preferential-attachment,0.3,0.05,0.1,ticks,52,0,52,26,52
31,0.3,0.75,100,preferential-attachment,0.4,0.05,0.1,ticks,27,0,27,13.5,27
32,0.3,0.75,100,preferential-attachment,0.4,0.05,0.1,ticks,38,0,38,19,38
33,0.3,0.75,100,preferential-attachment,0.4,0.05,0.1,ticks,41,0,41,20.5,41
34,0.3,0.75,100,preferential-attachment,0.4,0.05,0.1,ticks,49,0,49,24.5,49
35,0.3,0.75,100,preferential-attachment,0.4,0.05,0.1,ticks,32,0,32,16,32
36,0.3,0.75,100,preferential-attachment,0.4,0.05,0.1,ticks,34,0,34,17,34
37,0.3,0.75,100,preferential-attachment,0.4,0.05,0.1,ticks,33,0,33,16.5,33
38,0.3,0.75,100,preferential-attachment,0.4,0.05,0.1,ticks,35,0,35,17.5,35
39,0.3,0.75,100,preferential-attachment,0.4,0.05,0.1,ticks,46,0,46,23,46
40,0.3,0.75,100,preferential-attachment,0.4,0.05,0.1,ticks,53,0,53,26.5,53
41,0.3,0.75,100,preferential-attachment,0.5,0.05,0.1,ticks,33,0,33,16.5,33
42,0.3,0.75,100,preferential-attachment,0.5,0.05,0.1,ticks,33,0,33,16.5,33
43,0.3,0.75,100,preferential-attachment,0.5,0.05,0.1,ticks,33,0,33,16.5,33
44,0.3,0.75,100,preferential-attachment,0.5,0.05,0.1,ticks,25,0,25,12.5,25
45,0.3,0.75,100,preferential-attachment,0.5,0.05,0.1,ticks,29,0,29,14.5,29
46,0.3,0.75,100,preferential-attachment,0.5,0.05,0.1,ticks,31,0,31,15.5,31
47,0.3,0.75,100,preferential-attachment,0.5,0.05,0.1,ticks,39,0,39,19.5,39
48,0.3,0.75,100,preferential-attachment,0.5,0.05,0.1,ticks,48,0,48,24,48
49,0.3,0.75,100,preferential-attachment,0.5,0.05,0.1,ticks,37,0,37,18.5,37
50,0.3,0.75,100,preferential-attachment,0.5,0.05,0.1,ticks,40,0,40,20,40
51,0.3,0.75,100,preferential-attachment,0.6,0.05,0.1,ticks,31,0,31,15.5,31
52,0.3,0.75,100,preferential-attachment,0.6,0.05,0.1,ticks,49,0,49,24.5,49
53,0.3,0.75,100,preferential-attachment,0.6,0.05,0.1,ticks,34,0,34,17,34
54,0.3,0.75,100,preferential-attachment,0.6,0.05,0.1,ticks,35,0,35,17.5,35
55,0.3,0.75,100,preferential-attachment,0.6,0.05,0.1,ticks,26,0,26,13,26
56,0.3,0.75,100,preferential-attachment,0.6,0.05,0.1,ticks,35,0,35,17.5,35
57,0.3,0.75,100,preferential-attachment,0.6,0.05,0.1,ticks,34,0,34,17,34
58,0.3,0.75,100,preferential-attachment,0.6,0.05,0.1,ticks,33,0,33,16.5,33
59,0.3,0.75,100,preferential-attachment,0.6,0.05,0.1,ticks,38,0,38,19,38
60,0.3,0.75,100,preferential-attachment,0.6,0.05,0.1,ticks,19,0,19,9.5,19
61,0.3,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,23,0,23,11.5,23
62,0.3,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,31,0,31,15.5,31
63,0.3,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,51,0,51,25.5,51
64,0.3,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,30,0,30,15,30
65,0.3,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,22,0,22,11,22
66,0.3,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,32,0,32,16,32
67,0.3,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,33,0,33,16.5,33
68,0.3,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,33,0,33,16.5,33
69,0.3,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,18,0,18,9,18
70,0.3,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,25,0,25,12.5,25
71,0.3,0.75,100,preferential-attachment,0.8,0.05,0.1,ticks,24,0,24,12,24
72,0.3,0.75,100,preferential-attachment,0.8,0.05,0.1,ticks,35,0,35,17.5,35
73,0.3,0.75,100,preferential-attachment,0.8,0.05,0.1,ticks,32,0,32,16,32
74,0.3,0.75,100,preferential-attachment,0.8,0.05,0.1,ticks,26,0,26,13,26
75,0.3,0.75,100,preferential-attachment,0.8,0.05,0.1,ticks,29,0,29,14.5,29
76,0.3,0.75,100,preferential-attachment,0.8,0.05,0.1,ticks,27,0,27,13.5,27
77,0.3,0.75,100,preferential-attachment,0.8,0.05,0.1,ticks,26,0,26,13,26
78,0.3,0.75,100,preferential-attachment,0.8,0.05,0.1,ticks,35,0,35,17.5,35
79,0.3,0.75,100,preferential-attachment,0.8,0.05,0.1,ticks,31,0,31,15.5,31
80,0.3,0.75,100,preferential-attachment,0.8,0.05,0.1,ticks,39,0,39,19.5,39
81,0.3,0.75,100,preferential-attachment,0.9,0.05,0.1,ticks,34,0,34,17,34
82,0.3,0.75,100,preferential-attachment,0.9,0.05,0.1,ticks,22,0,22,11,22
83,0.3,0.75,100,preferential-attachment,0.9,0.05,0.1,ticks,20,0,20,10,20
84,0.3,0.75,100,preferential-attachment,0.9,0.05,0.1,ticks,28,0,28,14,28
85,0.3,0.75,100,preferential-attachment,0.9,0.05,0.1,ticks,28,0,28,14,28
86,0.3,0.75,100,preferential-attachment,0.9,0.05,0.1,ticks,47,0,47,23.5,47
87,0.3,0.75,100,preferential-attachment,0.9,0.05,0.1,ticks,30,0,30,15,30
88,0.3,0.75,100,preferential-attachment,0.9,0.05,0.1,ticks,33,0,33,16.5,33
89,0.3,0.75,100,preferential-attachment,0.9,0.05,0.1,ticks,33,0,33,16.5,33
90,0.3,0.75,100,preferential-attachment,0.9,0.05,0.1,ticks,32,0,32,16,32
91,0.3,0.75,100,preferential-attachment,1,0.05,0.1,ticks,25,0,25,12.5,25
92,0.3,0.75,100,preferential-attachment,1,0.05,0.1,ticks,27,0,27,13.5,27
93,0.3,0.75,100,preferential-attachment,1,0.05,0.1,ticks,34,0,34,17,34
94,0.3,0.75,100,preferential-attachment,1,0.05,0.1,ticks,23,0,23,11.5,23
95,0.3,0.75,100,preferential-attachment,1,0.05,0.1,ticks,24,0,24,12,24
96,0.3,0.75,100,preferential-attachment,1,0.05,0.1,ticks,45,0,45,22.5,45
97,0.3,0.75,100,preferential-attachment,1,0.05,0.1,ticks,27,0,27,13.5,27
98,0.3,0.75,100,preferential-attachment,1,0.05,0.1,ticks,47,0,47,23.5,47
99,0.3,0.75,100,preferential-attachment,1,0.05,0.1,ticks,22,0,22,11,22
100,0.3,0.75,100,preferential-attachment,1,0.05,0.1,ticks,30,0,30,15,30
